-2.70209e-05, 1.87912e-06, 2.04213e-05;
-4.47548e-05, 0.000407344, 0.00038167;
-1.72954e-05, 0.000167906, 0.000360238;
0.000650299, -0.000134308, -0.000215796;
0.000222496, 7.73375e-06, 0.000379512;
0.000374042, -1.56408e-05, 0.000368816;
-6.65788e-05, -0.00015093, 0.00036878;
0.000603377, -0.000447849, -0.000203008;
0.000186673, -0.000306543, 0.000388171;
0.000343052, -0.000329404, 0.000381824;
0.000423766, -0.000551607, 0.000623994;
0.000585898, -0.000304654, 0.000689383;
0.000778237, -0.000357156, 0.00102893;
0.000991091, -0.000444496, 0.00100676;
0.00131349, -0.000844019, 0.00123044;
0.000256126, -0.000241867, 0.00034907;
0.000443189, -0.00029183, 0.000684329;
0.00065087, -0.000376583, 0.000657971;
0.000968213, -0.000773482, 0.000877479;
0.000870088, -0.00020008, 0.00136572;
0.00156776, -0.000929964, 0.00139409;
0.00213832, 2.36464e-05, 0.00211119;
0.0025014, -0.000858908, 0.0026107;
0.00251135, -0.000273398, 0.00217599;
0.00310266, -0.00158526, 0.00254402;
0.00347747, -0.000626722, 0.00290065;
0.00377063, -0.00116095, 0.00309958;
0.000925671, -0.000841558, 0.00095122;
0.00147659, 0.000119844, 0.00165818;
0.00182024, -0.000754671, 0.00214763;
0.00181094, -0.000161227, 0.00170297;
0.00238315, -0.00146494, 0.00206101;
0.00273913, -0.000498509, 0.00240778;
0.00301368, -0.00102456, 0.0025969;
0.00344174, -0.000302034, 0.00309437;
0.00377171, -0.000750039, 0.00364068;
0.00441741, -0.00090226, 0.00373678;
0.00501329, -0.000509871, 0.0046853;
0.00547884, -0.00108613, 0.00453998;
0.00168139, -0.000401295, 0.00161143;
0.00191575, -0.000915314, 0.00177512;
0.00230389, -0.000180816, 0.00224721;
0.00259425, -0.00061671, 0.00276822;
0.00320066, -0.000756907, 0.00283915;
0.00375763, -0.000352526, 0.00376257;
0.00418464, -0.000916734, 0.00359232;
0.00476707, -0.000220032, 0.00466301;
0.00536051, -0.000419676, 0.00509555;
0.00581121, -0.000359817, 0.00547208;
0.00633852, -0.00130971, 0.00547527;
0.00704066, -0.00120372, 0.00584563;
0.00239304, -0.00016339, 0.00263305;
0.00276638, -0.000710977, 0.00242213;
0.00329546, 2.28696e-06, 0.00345221;
0.00383588, -0.000180684, 0.0038443;
